id дистриб'ютора;Дата;Код продукту дистриб'ютора;Кількість
53;25.10.2022;012271;64
53;26.10.2022;012271;64
53;27.10.2022;012271;64
53;28.10.2022;012271;64
53;29.10.2022;012271;64
53;30.10.2022;012271;64
53;31.10.2022;012271;64
53;01.10.2022;012272;25
53;02.10.2022;012272;25
53;03.10.2022;012272;23
53;04.10.2022;012272;22
53;05.10.2022;012272;22
53;06.10.2022;012272;22
53;07.10.2022;012272;22
53;08.10.2022;012272;22
53;09.10.2022;012272;22
53;10.10.2022;012272;22
53;11.10.2022;012272;22
53;12.10.2022;012272;22
53;13.10.2022;012272;22
53;14.10.2022;012272;21
53;15.10.2022;012272;21
53;16.10.2022;012272;21
53;17.10.2022;012272;21
53;18.10.2022;012272;21
53;19.10.2022;012272;20
53;20.10.2022;012272;20
53;21.10.2022;012272;20
53;22.10.2022;012272;20
53;23.10.2022;012272;20
53;24.10.2022;012272;20
53;25.10.2022;012272;20
53;26.10.2022;012272;20
53;27.10.2022;012272;20
53;28.10.2022;012272;20
53;29.10.2022;012272;20
53;30.10.2022;012272;20
53;31.10.2022;012272;20
53;01.10.2022;012274;51
53;02.10.2022;012274;51
53;03.10.2022;012274;42
53;04.10.2022;012274;41
53;05.10.2022;012274;41
53;06.10.2022;012274;41
53;07.10.2022;012274;41
53;08.10.2022;012274;41
53;09.10.2022;012274;41
53;10.10.2022;012274;41
53;11.10.2022;012274;34
53;12.10.2022;012274;19
53;13.10.2022;012274;18
53;14.10.2022;012274;18
53;15.10.2022;012274;18
53;16.10.2022;012274;18
53;17.10.2022;012274;18
53;18.10.2022;012274;12
53;19.10.2022;012274;12
53;20.10.2022;012274;7
53;21.10.2022;012274;7
53;22.10.2022;012274;7
53;23.10.2022;012274;7
53;24.10.2022;012274;71
53;25.10.2022;012274;71
53;26.10.2022;012274;71
53;27.10.2022;012274;71
53;28.10.2022;012274;71
53;29.10.2022;012274;71
53;30.10.2022;012274;71
53;31.10.2022;012274;71
53;01.10.2022;012275;25
53;02.10.2022;012275;25
53;03.10.2022;012275;24
53;04.10.2022;012275;23
53;05.10.2022;012275;23
53;06.10.2022;012275;16
53;07.10.2022;012275;16
53;08.10.2022;012275;16
53;09.10.2022;012275;16
53;10.10.2022;012275;16
53;11.10.2022;012275;13
53;12.10.2022;012275;13
53;13.10.2022;012275;13
53;14.10.2022;012275;11
53;15.10.2022;012275;11
53;16.10.2022;012275;11
53;17.10.2022;012275;11
53;18.10.2022;012275;0
53;19.10.2022;012275;0
53;20.10.2022;012275;0
53;21.10.2022;012275;0
53;22.10.2022;012275;0
53;23.10.2022;012275;0
53;24.10.2022;012275;64
53;25.10.2022;012275;64
53;26.10.2022;012275;64
53;27.10.2022;012275;64
53;28.10.2022;012275;64
53;29.10.2022;012275;64
53;30.10.2022;012275;64
53;31.10.2022;012275;60
53;01.10.2022;013116;3
53;02.10.2022;013116;3
53;03.10.2022;013116;3
53;04.10.2022;013116;1
53;05.10.2022;013116;1
53;06.10.2022;013116;1
53;07.10.2022;013116;1
53;08.10.2022;013116;1
53;09.10.2022;013116;1
53;10.10.2022;013116;1
53;11.10.2022;013116;1
53;12.10.2022;013116;1
53;13.10.2022;013116;1
53;14.10.2022;013116;1
53;15.10.2022;013116;1
53;16.10.2022;013116;1
53;17.10.2022;013116;1
